Input,Time
533,5.24
534,3.1
535,3.388
536,2.984
537,7.978
538,3.904
539,3.682
540,3.315
541,7.45
542,8.258
543,7.556
544,9.209
545,5.098
546,4.317
547,3.996
548,8.484
549,4.697
550,4
551,6.992
552,4.52
553,4.204
554,6.944
555,8.055
556,4.767
557,4.094
558,4.471
559,8.333
560,5.612
561,4.272
562,4.52
563,4.601
564,6.011
565,15.48
566,8.515
567,7.458
568,4.372
569,8.342
570,3.428
571,3.799
572,3.625
573,3.824
574,3.455
575,3.88
576,3.261
577,3.426
578,3.395
579,4.205
580,3.742
581,4.297
582,3.67
583,3.398
584,3.121
585,3.69
586,3.714
587,3.718
588,3.697
589,8.662
590,8.111
591,4.549
592,7.868
593,6.227
594,5.046
595,3.56
596,4.034
597,3.856
598,3.868
599,3.474
600,5.631
601,3.935
602,3.458
603,3.627
604,7.812
605,10.869
606,4.915
607,9.024
608,5.337
609,5.261
610,7.019
611,5.891
612,6.469
613,3.588
614,4.237
615,4.464
616,6.231
617,3.696
618,3.579
619,3.834
620,3.768
621,3.503
622,3.607
623,3.883
624,4.383
625,3.92
626,5.869
627,5.736
628,6.136
629,6.27
630,6.536
631,6.63
632,6.163
633,7.151
634,4.461
635,3.863
636,4.029
637,6.309
638,7.478
639,4.051
640,4.39
641,4.224
642,7.814
643,4.837
644,5.11
645,5.347
646,8.094
647,6.824
648,4.895
649,4.596
650,6.41
651,7.047
652,4.431
653,3.971
654,4.774
655,6.905
656,4.569
657,4.749
658,4.64
659,6.763
660,6.669
661,4.477
662,5.241
663,7.206
664,4.27
665,4.335
666,9.406
667,4.943
668,4.27
669,6.31
670,5.671
671,4.331
672,8.495
673,5.155
674,5.282
675,7.336
676,4.866
677,4.41
678,7.294
679,6.45
680,4.096
681,4.933
682,8.803
683,5.122
684,7.381
685,5.126
686,4.575
687,7.208
688,7.135
689,4.005
690,4.602
691,8.004
692,6.722
693,6.68
694,7.16
695,5.703
696,4.729
697,6.307
698,7.233
699,4.729
700,4.128
701,4.606
702,8.203
703,4.238
704,4.455
705,7.62
706,4.25
707,4.727
708,6.505
709,5.089
710,4.439
711,7.243
712,5.022
713,6.475
714,7.387
715,4.789
716,4.296
717,6.725
718,7.901
719,4.744
720,4.668
721,5.455
722,7.458
723,5.217
724,5.061
725,6.838
726,7.483
727,5.312
728,4.919
729,7.927
730,7.975
731,5.8
732,8.44
733,5.758
734,5.356
735,7.176
736,6.767
737,6.53
738,9.135
739,12.513
740,12.713
741,10.106
742,8.204
743,6.04
744,8.046
745,5.798
746,5.594
747,5.673
748,7.842
749,7.185
750,5.74
751,5.19
752,6.922
753,8.389
754,4.872
755,5.921
756,8.479
757,5.459
758,7.686
759,6.024
760,5.972
761,7.387
762,6.004
763,5.424
764,8.074
765,6.49
766,8.645
767,8.502
768,5.791
769,7.798
770,6.451
771,8.369
772,10.171
773,10.367
774,9.566
775,7.38
776,8.918
777,6.52
778,7.633
779,7.884
780,6.05
781,5.842
782,8.233
783,34.383
784,12.359
785,12.637
786,6.389
787,6.104
788,9.194
789,8.63
790,4.846
791,5.916
792,8.47
793,5.849
794,4.974
795,12.479
796,5.523
797,8.812
798,6.234
799,8.98
800,5.936
801,4.983
802,7.892
803,8.461
804,4.779
805,5.612
806,9.163
807,5.051
808,6.119
809,8.44
810,7.562
811,5.388
812,5.849
813,8.521
814,5.917
815,5.946
816,9.074
817,5.659
818,8.18
819,7.081
820,5.418
821,8.476
822,7.734
823,5.799
824,9.485
825,6.872
826,6.007
827,8.217
828,5.956
829,7.573
830,8.541
831,5.829
832,8.819
833,6.678
834,6.059
835,8.341
836,5.369
837,10.39
838,5.993
839,9.419
840,6.134
841,7.131
842,5.433
843,5.486
844,8.811
845,5.923
846,8.121
847,5.353
848,4.822
849,8.887
850,5.759
851,7.306
852,8.684
853,6.211
854,7.716
855,5.754
856,7.615
857,8.564
858,11.155
859,5.617
860,9.247
861,5.945
862,6.735
863,8.411
864,5.718
865,8.565
866,6.917
867,8.839
868,6.325
869,8.643
870,7.742
871,5.677
872,8.615
873,5.588
874,8.05
875,6.15
876,8.159
877,8.118
878,6.7
879,8.27
880,6.277
881,10.398
882,7.137
883,5.558
884,9.122
885,6.344
886,8.451
887,8.419
888,11.186
889,10.53
890,18.476
891,14.556
892,9.468
893,9.274
894,8.805
895,6.387
896,8.852
897,8.857
898,6.621
899,9.438
900,6.623
901,7.923
902,6.061
903,8.397
904,8.395
905,6.326
906,12.798
907,11.036
908,12.505
909,7.772
910,9.223
911,7.72
912,8.493
913,9.053
914,10.478
915,7.531
916,10.516
917,7.137
918,9.69
919,8.084
920,9.624
921,8.568
922,6.527
923,9.609
924,7.716
925,9.046
926,8.036
927,8.012
928,9.038
929,6.302
930,9.194
931,6.701
932,9.928
933,8.198
934,7.365
935,8.656
936,7.129
937,10.818
938,8.136
939,10.309
940,13.165
941,14.937
942,13.552
943,9.428
944,11.443
945,10.195
946,8.731
947,6.505
948,8.899
949,7.024
950,6.521
951,9.658
952,7.068
953,8.906
954,9.001
955,7.005
956,9.907
957,6.339
958,9.69
959,10.722
960,6.823
961,10.499
962,6.922
963,9.475
964,7.224
965,12.967
966,9.993
967,7.96
968,11.428
969,10.55
970,14.582
971,14.444
972,15.358
973,12.883
974,11.508
975,7.55
976,10.303
977,7.417
978,10.044
979,9.969
980,7.971
981,10.782
982,7.472
983,9.998
984,7.774
985,9.158
986,7.427
987,8.29
988,9.215
989,8.922
990,8.834
991,9.701
992,7.198
993,10.587
994,6.437
995,11.844
996,13.141
997,7.697
998,10.796
999,10.151
1000,7.529
