Input,Time
533,6.576
534,6.801
535,8.717
536,9.242
537,5.446
538,6.333
539,7.185
540,7.52
541,5.575
542,5.59
543,8.725
544,7.708
545,6.421
546,5.703
547,8.348
548,9.341
549,5.985
550,6.832
551,10.379
552,9.987
553,9.761
554,6.024
555,6.47
556,9.505
557,8.917
558,8.749
559,5.898
560,7.122
561,7.938
562,9.207
563,6.049
564,6.329
565,8.021
566,7.82
567,7.69
568,6.423
569,10.896
570,6.306
571,9.9
572,12.102
573,12.099
574,19.446
575,16.579
576,19.509
577,18.143
578,12.249
579,13.742
580,11.511
581,9.878
582,10.816
583,12.104
584,13.856
585,9.662
586,10.335
587,12.541
588,10.963
589,13.713
590,7.621
591,10.548
592,10.966
593,9.04
594,9.954
595,6.88
596,7.534
597,8.327
598,10.797
599,11.255
600,7.048
601,12.295
602,10.223
603,10.49
604,8.434
605,13.251
606,9.455
607,9.44
608,8.162
609,7.167
610,9.45
611,12.045
612,9.325
613,6.701
614,10.446
615,10.921
616,14.289
617,8.056
618,11.635
619,10.308
620,10.731
621,11.179
622,12.244
623,14.049
624,16.974
625,32.651
626,17.688
627,14.656
628,12.948
629,7.399
630,15.028
631,10.765
632,10.088
633,11.285
634,8.669
635,8.731
636,8.474
637,9.137
638,8.017
639,8.779
640,7.61
641,12.696
642,12.152
643,7.511
644,7.563
645,7.971
646,10.752
647,11.326
648,10.051
649,14.077
650,13.24
651,20.695
652,21.953
653,30.751
654,17.253
655,15.83
656,17.025
657,16.11
658,18.355
659,15.549
660,9.548
661,12.411
662,11.592
663,16.108
664,14.068
665,12.109
666,13.24
667,12.422
668,9.859
669,8.532
670,11.783
671,11.576
672,11.49
673,9.839
674,10.04
675,12.64
676,14.167
677,14.124
678,11.986
679,14.705
680,8.15
681,8.177
682,9.75
683,13.856
684,8.541
685,28.732
686,18.258
687,14.722
688,14.403
689,14.669
690,15.208
691,12.118
692,19.292
693,43.498
694,15.976
695,17.375
696,16.264
697,13.514
698,15.427
699,10.614
700,10.518
701,10.355
702,9.708
703,9.876
704,13.418
705,13.574
706,10.737
707,14.264
708,9.557
709,11.709
710,9.886
711,9.17
712,8.824
713,13.345
714,12.624
715,14.441
716,9.906
717,10.665
718,9.634
719,9.028
720,11.279
721,15.271
722,17.919
723,10.03
724,9.985
725,13.55
726,13.428
727,10.324
728,10.859
729,10.334
730,9.491
731,9.696
732,13.826
733,9.599
734,9.334
735,9.512
736,13.171
737,9.345
738,9.613
739,10.636
740,9.515
741,9.572
742,8.953
743,11.153
744,10.464
745,15.761
746,14.261
747,11.093
748,11.437
749,11.998
750,15.728
751,9.348
752,12.33
753,15.361
754,15.66
755,13.089
756,10.679
757,16.109
758,14.426
759,15.505
760,13.182
761,11.463
762,21.688
763,36.354
764,18.07
765,17.174
766,20.34
767,10.12
768,16.304
769,13.518
770,20.833
771,10.587
772,10.315
773,14.535
774,12.785
775,12.897
776,13.276
777,11.751
778,11.782
779,11.585
780,11.634
781,11.148
782,13.753
783,13.99
784,18.255
785,14.58
786,21.389
787,26.393
788,21.632
789,13.966
790,23.69
791,16.66
792,20.486
793,18.58
794,13.194
795,14.675
796,14.701
797,18.862
798,17.841
799,12.557
800,12.243
801,12.456
802,14.499
803,12.45
804,13.456
805,18.513
806,11.312
807,12.752
808,14.86
809,13.625
810,17.668
811,12.658
812,19.649
813,12.037
814,11.142
815,14.971
816,14.182
817,14.132
818,17.732
819,13.256
820,14.074
821,17.56
822,21.616
823,25.376
824,39.402
825,22.258
826,18.045
827,19.019
828,15.359
829,17.161
830,14.438
831,18.187
832,16.005
833,13.883
834,16.71
835,13.78
836,13.914
837,13.466
838,13.03
839,14.004
840,12.204
841,15.534
842,14.389
843,13.222
844,15.719
845,14.736
846,15.14
847,15.948
848,16.679
849,22.825
850,14.451
851,16.023
852,17.743
853,12.895
854,13.375
855,14.596
856,13.717
857,14.43
858,12.354
859,16.067
860,13.96
861,13.586
862,13.371
863,11.857
864,12.634
865,14.291
866,12.84
867,14.582
868,14.681
869,17.237
870,16.809
871,12.611
872,20.614
873,14.632
874,15.807
875,17.378
876,17.682
877,13.848
878,14.503
879,14.57
880,23.122
881,20.373
882,34.466
883,31.94
884,18.183
885,14.358
886,20.882
887,18.151
888,15.273
889,15.544
890,15.293
891,14.533
892,17.513
893,14.987
894,13.917
895,14.227
896,14.198
897,14.598
898,14.913
899,23.414
900,15.578
901,22.488
902,31.189
903,20.065
904,20.645
905,28.552
906,32.554
907,16.725
908,17.532
909,20.207
910,15.975
911,16.621
912,16.954
913,20.828
914,16.243
915,14.726
916,16.493
917,15.755
918,22.16
919,15.696
920,19.306
921,20.174
922,24.326
923,16.055
924,19.133
925,16.951
926,23.38
927,19.177
928,19.416
929,18.954
930,26.759
931,22.44
932,36.726
933,46.833
934,23.816
935,25.722
936,16.174
937,19.267
938,22.497
939,16.947
940,16.911
941,17.524
942,16.007
943,17.166
944,17.42
945,15.553
946,15.776
947,16.667
948,16.614
949,19.361
950,18.967
951,16.776
952,21.442
953,18.736
954,27.21
955,16.484
956,17.86
957,16.149
958,18.36
959,15.353
960,15.156
961,15.766
962,15.528
963,21.603
964,15.612
965,14.804
966,16.576
967,16.777
968,15.547
969,22.636
970,19.115
971,18.386
972,17.88
973,17.318
974,17.074
975,17.287
976,16.31
977,18.297
978,17.266
979,18.975
980,29.329
981,20.476
982,24.626
983,58.963
984,29.265
985,24.119
986,20.717
987,22.722
988,21.442
989,25.795
990,27.017
991,17.375
992,17.829
993,17.325
994,17.444
995,19.044
996,24.375
997,36.142
998,62.475
999,24.723
1000,24.524
1001,26.147
1002,33.328
1003,26.765
1004,25.412
1005,33.398
1006,22.749
1007,26.873
1008,21.575
1009,21.334
1010,18.545
1011,20.58
1012,25.823
1013,27.555
1014,17.941
1015,20.627
1016,28.69
1017,20.923
1018,22.589
1019,19.141
1020,20.631
1021,20.752
1022,30.09
1023,37.916
1024,28.21
1025,31.731
1026,22.1
1027,20.296
1028,29.356
1029,21.407
1030,19.003
1031,19.124
1032,18.031
1033,18.507
1034,18.343
1035,19.239
1036,16.847
1037,24.88
1038,21.865
1039,17.97
1040,19.746
1041,19.673
1042,23.63
1043,23.526
1044,24.112
1045,18.176
1046,21.973
1047,18.262
1048,18.042
1049,19.756
1050,18.623
1051,18.725
1052,19.502
1053,18.871
1054,17.816
1055,19.215
1056,18.211
1057,19.792
1058,18.34
1059,18.977
1060,18.872
1061,19.386
1062,20.961
1063,21.189
1064,20.29
1065,21.43
1066,21.484
1067,19.381
1068,25.232
1069,54.692
1070,34.437
1071,26.719
1072,27.623
1073,21.359
1074,25.537
1075,26.057
1076,21.662
1077,19.613
1078,21.28
1079,21.14
1080,19.848
1081,19.63
1082,30.049
1083,36.266
1084,36.354
1085,41.917
1086,30.988
1087,27.791
1088,32.855
1089,27.049
1090,27.018
1091,24.87
1092,30.212
1093,32.56
1094,22.135
1095,22.398
1096,24.754
1097,20.18
1098,23.947
1099,19.963
1100,22.08
1101,23.985
1102,23.461
1103,24.132
1104,30.221
1105,28.09
1106,46.904
1107,37.735
1108,31.852
1109,28.311
1110,24.207
1111,34.004
1112,22.541
1113,23.039
1114,20.754
1115,20.474
1116,21.329
1117,20.212
1118,20.234
1119,21.477
1120,26.468
1121,20.667
1122,22.421
1123,26.013
1124,24.335
1125,21.151
1126,24.372
1127,20.501
1128,21.325
1129,20.846
1130,19.333
1131,20.698
1132,19.592
1133,19.977
1134,18.973
1135,20.362
1136,20.806
1137,24.122
1138,19.583
1139,22.729
1140,26.05
1141,30.007
1142,22.142
1143,21.959
1144,26.108
1145,33.757
1146,33.239
1147,24.714
1148,22.403
1149,21.473
1150,22.552
1151,21.533
1152,24.782
1153,21.166
1154,27.28
1155,24.571
1156,23.608
1157,34.345
1158,27.148
1159,21.712
1160,27.026
1161,28.111
1162,48.005
1163,28.616
1164,33.13
1165,26.688
1166,31.846
1167,36.261
1168,23.325
1169,22.072
1170,24.9
1171,21.459
1172,22.193
1173,23.264
1174,36.172
1175,45.582
1176,53.493
1177,32.602
1178,41.467
1179,40.656
1180,33.835
1181,27.672
1182,27.222
1183,28.527
1184,25.139
1185,25.797
1186,27.096
1187,29.071
1188,31.762
1189,24.968
1190,28.676
1191,29.031
1192,27.399
1193,28.781
1194,27.153
1195,51.126
1196,40.508
1197,39.935
1198,27.352
1199,25.521
1200,29.188
1201,29.08
1202,24.153
1203,23.079
1204,24.942
1205,22.589
1206,23.679
1207,31.239
1208,27.756
1209,27.703
1210,30.45
1211,26.187
1212,30.435
1213,25.113
1214,24.693
1215,27.006
1216,24.033
1217,25.093
1218,22.779
1219,22.389
1220,23.749
1221,24.516
1222,21.484
1223,30.739
1224,25.798
1225,34.282
1226,31.751
1227,30.964
1228,78.764
1229,41.153
1230,33.093
1231,38.489
1232,30.036
1233,29.701
1234,27.375
1235,26.854
1236,26.279
1237,28.841
1238,29.772
1239,39.954
1240,65.212
1241,45.523
1242,36.766
1243,55.239
1244,30.556
1245,27.698
1246,33.531
1247,27.793
1248,27.465
1249,32.132
1250,28.036
1251,32.934
1252,27.968
1253,25.645
1254,29.557
1255,30.559
1256,32.23
1257,44.498
1258,44.225
1259,34.45
1260,33.588
1261,31.338
1262,31.13
1263,26.909
1264,25.601
1265,26.957
1266,26.681
1267,24.558
1268,26.584
1269,31.56
1270,27.5
1271,28.505
1272,32.893
1273,33.395
1274,28.678
1275,29.882
1276,24.883
1277,25.497
1278,27.214
1279,25.48
1280,26.543
1281,27.615
1282,32.402
1283,26.816
1284,28.445
1285,29.624
1286,34.538
1287,31.347
1288,29.582
1289,30.709
1290,37.232
1291,51.881
1292,43.065
1293,33.2
1294,35.26
1295,36.325
1296,37.508
1297,26.82
1298,29.221
1299,27.314
1300,28.089
1301,38.756
1302,51.698
1303,42
1304,36.893
1305,32.563
1306,53.043
1307,33.261
1308,39.323
1309,34.745
1310,34.109
1311,38.419
1312,31.158
1313,28.919
1314,32.35
1315,32.748
1316,29.419
1317,29.632
1318,38.206
1319,42.927
1320,65.2
1321,46.521
1322,36.694
1323,45.414
1324,39.589
1325,42.945
1326,37.728
1327,42.123
1328,39.199
1329,42.331
1330,33.38
1331,95.071
1332,39.968
1333,30.688
1334,31.649
1335,30.307
1336,31.172
1337,29.05
1338,28.99
1339,41.8
1340,29.303
1341,30.455
1342,41.784
1343,30.055
1344,33.02
1345,28.193
1346,27.599
1347,26.147
1348,28.835
1349,27.457
1350,30.927
1351,28.901
1352,33.438
1353,26.973
1354,29.767
1355,29.647
1356,40.733
1357,47.656
1358,30.643
1359,30.49
1360,33.621
1361,31.374
1362,28.274
1363,29.109
1364,27.97
1365,35.46
1366,40.104
1367,44.368
1368,42.777
1369,43.091
1370,44.579
1371,37.752
1372,32.935
1373,29.827
1374,32.268
1375,35.972
1376,30.954
1377,30.812
1378,31.142
1379,27.65
1380,27.902
1381,26.652
1382,28
1383,27.381
1384,27.126
1385,26.915
1386,26.988
1387,26.489
1388,28.093
1389,30.174
1390,27.876
1391,34.227
1392,31.232
1393,29.566
1394,29.425
1395,28.076
1396,28.54
1397,28.256
1398,28.157
1399,29.23
1400,32.013
1401,30.921
1402,34.963
1403,36.944
1404,30.394
1405,29.768
1406,29.769
1407,30.846
1408,31.398
1409,29.883
1410,36.487
1411,35.977
1412,38.581
1413,33.827
1414,35.379
1415,37.024
1416,49.465
1417,35.544
1418,32.725
1419,33.967
1420,32.751
1421,33.515
1422,32.243
1423,33.648
1424,45.425
1425,53.899
1426,44.434
1427,37.845
1428,34.987
1429,35.788
1430,34.033
1431,31.826
1432,32.277
1433,32.709
1434,36.877
1435,31.447
1436,38.865
1437,32.3
1438,34.014
1439,33.102
1440,30.783
1441,30.653
1442,29.449
1443,31.759
1444,29.132
1445,32.421
1446,29.645
1447,34.143
1448,33.577
1449,33.74
1450,38.369
1451,32.076
1452,31.17
1453,32.26
1454,31.087
1455,33.908
1456,30.135
1457,36.929
1458,34.017
1459,33.936
1460,38.064
1461,33.99
1462,31.541
1463,30.616
1464,31.095
1465,30.642
1466,31.776
1467,32.161
1468,32.802
1469,36.474
1470,40.236
1471,33.984
1472,33.068
1473,32.489
1474,33.354
1475,30.617
1476,32.376
1477,31.266
1478,31.465
1479,32.193
1480,32.75
1481,33.452
1482,42.368
1483,51.465
1484,48.183
1485,36.343
1486,38.584
1487,37.308
1488,34.834
1489,40.809
1490,35.461
1491,43.082
1492,48.872
1493,33.569
1494,33.733
1495,35.823
1496,31.71
1497,32.588
1498,32.319
1499,31.753
1500,32.203
1501,31.432
1502,31.822
1503,33.431
1504,33.819
1505,34.402
1506,36.178
1507,40.914
1508,35.029
1509,35.437
1510,34.01
1511,33.242
1512,33.789
1513,33.843
1514,34.751
1515,43.034
1516,43.644
1517,38.468
1518,35.876
1519,35.111
1520,34.122
1521,36.47
1522,34.09
1523,36.875
1524,35.944
1525,34.839
1526,42.396
1527,35.074
1528,36.181
1529,34.604
1530,35.552
1531,32.427
1532,34.06
1533,34.529
1534,33.83
1535,32.652
1536,38.585
1537,55.397
1538,46.636
1539,47.001
