Input,Time
533,3.645
534,3.275
535,3.216
536,2.923
537,5.816
538,6.704
539,5.351
540,4.008
541,3.84
542,3.813
543,3.347
544,6.615
545,8.835
546,5.682
547,7.413
548,6.973
549,6.902
550,4.962
551,4.569
552,5.271
553,4.705
554,3.456
555,3.88
556,5.152
557,5.589
558,6.589
559,3.516
560,3.949
561,2.915
562,3.104
563,3.369
564,4.116
565,3.788
566,4.16
567,6.43
568,5.046
569,6.206
570,6.543
571,5.482
572,3.501
573,3.75
574,3.334
575,3.668
576,3.141
577,3.302
578,3.318
579,6.495
580,6.334
581,6.115
582,3.532
583,3.679
584,3.503
585,4.047
586,3.548
587,5.629
588,6.817
589,6.146
590,5.011
591,4.544
592,3.681
593,3.74
594,3.622
595,6.685
596,6.985
597,5.232
598,3.838
599,4.033
600,4.326
601,6.306
602,6.12
603,4.636
604,3.461
605,3.535
606,3.413
607,3.301
608,3.574
609,3.803
610,7.122
611,4.98
612,4.19
613,3.252
614,4.309
615,5.044
616,7.208
617,4.429
618,3.922
619,4.215
620,3.747
621,3.592
622,3.414
623,5.871
624,6.983
625,3.804
626,3.659
627,3.781
628,4.108
629,4.137
630,4.241
631,5.819
632,6.977
633,5.866
634,4.363
635,3.419
636,4.097
637,3.653
638,6.524
639,7.485
640,5.209
641,3.676
642,3.701
643,3.857
644,4.186
645,4.373
646,4.337
647,4.492
648,7.387
649,5.392
650,4.437
651,4.259
652,4.276
653,5.435
654,7.274
655,4.583
656,3.837
657,4.003
658,5.775
659,6.788
660,6.809
661,5.12
662,4.934
663,4.513
664,6.158
665,6.153
666,4.765
667,4.704
668,3.974
669,3.608
670,5.281
671,7.948
672,6.252
673,4.099
674,4.247
675,4.462
676,7.124
677,5.89
678,4.374
679,4.49
680,4.378
681,6.631
682,6.354
683,9.639
684,8.396
685,6.757
686,7.628
687,6.231
688,7.863
689,4.41
690,4.791
691,6.247
692,6.734
693,6.049
694,5.118
695,5.644
696,4.928
697,4.628
698,4.598
699,4.833
700,3.71
701,5.133
702,7.567
703,4.524
704,4.656
705,4.815
706,5.405
707,5.328
708,4.389
709,6.858
710,9.049
711,4.492
712,4.336
713,7.228
714,7.414
715,5.067
716,4.448
717,5.172
718,6.353
719,6.604
720,5.347
721,5.391
722,9.988
723,7.125
724,4.905
725,5.33
726,10.819
727,11.44
728,7.284
729,5.183
730,7.704
731,7.094
732,5.036
733,4.618
734,4.809
735,4.781
736,8.415
737,7.288
738,5.865
739,5.362
740,6.008
741,7.344
742,8.879
743,5.737
744,7.829
745,5.338
746,4.59
747,7.814
748,6.379
749,4.087
750,4.869
751,7.571
752,5.155
753,5.529
754,6.767
755,7.82
756,5.193
757,4.489
758,7.711
759,5.182
760,4.449
761,5.992
762,7.375
763,4.582
764,5.114
765,7.674
766,5.688
767,5.157
768,7.574
769,8.467
770,7.659
771,6.785
772,5.561
773,4.207
774,6.273
775,6.695
776,4.804
777,9.753
778,4.944
779,6.192
780,7.108
781,5.229
782,6.389
783,7.776
784,4.551
785,5.683
786,4.493
787,8.399
788,5.635
789,5.84
790,7.395
791,5.461
792,5.224
793,6.957
794,6.714
795,5.121
796,5.831
797,9.376
798,4.878
799,7.184
800,8.542
801,4.876
802,5.289
803,7.034
804,5.57
805,5.38
806,8.77
807,6.847
808,5.404
809,6.252
810,8.195
811,4.875
812,5.284
813,8.386
814,6.312
815,4.781
816,10.008
817,5.476
818,5.382
819,7.773
820,6.739
821,5.601
822,8.643
823,6.51
824,5.275
825,5.174
826,7.988
827,5.149
828,5.421
829,8.512
830,5.918
831,7.052
832,8.17
833,6.772
834,8.019
835,7.454
836,5.302
837,8.907
838,6.75
839,8.853
840,8.021
841,8.238
842,5.435
843,5.518
844,8.302
845,7.206
846,5.604
847,7.62
848,7.367
849,6.584
850,9.135
851,7.948
852,12.26
853,11.199
854,5.632
855,8.322
856,8.425
857,7.637
858,6.023
859,6.145
860,8.956
861,6.78
862,5.312
863,6.292
864,8.693
865,5.61
866,9.539
867,6.416
868,6.073
869,7.709
870,6.045
